,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT
2006-01-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2006-02-28,0.499742618968887,0.0,0.500257381031113,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.4890354539319904,0.0,0.5109645460680096,0.0,0.0,0.0,0.0,0.0
2006-04-28,0.4551948925887406,0.0,0.5448051074112595,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.5072297000076348,0.0,0.4927702999923651,1.1102230246251565e-16,0.0,0.0,0.0,0.0
2006-06-30,0.4897583408709756,0.0,0.5102416591290244,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.4804886962349997,0.0,0.5195113037650003,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.4246097945298086,0.0,0.5753902054701914,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.4324274168164782,0.0,0.5675725831835218,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.6,0.39999999999999997,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.5162928717608417,0.0,0.4837071282391583,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.3498881073238881,0.0,0.3155765647074097,0.3345353279687022,0.0,0.0,0.0,0.0
2007-01-31,0.2380604884004729,0.4292015841909953,0.0,0.33273792740853175,0.0,0.0,0.0,0.0
2007-02-28,0.23588032783051982,0.4441470457434548,0.0,0.3199726264260254,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.40915487442509896,0.27627103032054084,0.3145740952543602,0.0,0.0,0.0,0.0
2007-04-30,0.3108149624292483,0.5351610476416657,0.0,0.15402398992908603,0.0,0.0,0.0,0.0
2007-05-31,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-29,0.39999999999999997,0.6,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-31,0.39999999999999997,0.6,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.3999999999999999,0.0,0.0,1.2822000245905656e-16,0.0,0.6,0.0,0.0
2007-09-28,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2007-10-31,0.3187906240583086,0.0,0.0,0.09385610932343014,0.0,0.5873532666182613,0.0,0.0
2007-11-30,0.2625864815730385,0.0,0.567587017118178,0.1698265013087834,0.0,0.0,0.0,0.0
2007-12-31,0.2758737232087568,0.0,0.5448047102158537,0.17932156657538945,0.0,0.0,0.0,0.0
2008-01-31,0.2768985808706518,0.0,0.5407824881545918,0.18231893097475638,0.0,0.0,0.0,0.0
2008-02-29,0.0,0.0,0.4000000000000001,0.6,0.0,0.0,0.0,0.0
2008-03-31,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
2008-04-30,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
2008-05-30,0.3104431749609715,0.0,0.45078834667726675,0.23876847836176174,0.0,0.0,0.0,0.0
2008-06-30,0.3233080121744502,0.0,0.4128915467891653,0.2638004410363846,0.0,0.0,0.0,0.0
2008-07-31,0.0,0.0,0.22837068690223394,0.25905184729691033,0.0,0.0,0.0,0.5125774658008557
2008-08-29,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
2008-09-30,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4
2008-10-31,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4
2008-11-28,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4000000000000001
2008-12-31,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4
2009-01-30,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4
2009-02-27,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4
2009-03-31,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.39999999999999997
2009-04-30,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.39999999999999997
2009-05-29,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
